id,selfreport_date,selfreport_duration,selfreport_finished,DD-1,DD-2,DD-3,DD-4,DD-5,DD-6,DD-7,DD-check-1,DD-8,DD-9,DD-10,DD-11,DD-12,DD-13,DD-14,DD-15,DD-check-2,DD-16,DD-17,DD-18,DD-19,DD-20,DD-21,DD-check-3,DD-22,DD-23,DD-24,DD-25,DD-26,DD-27,BIS-1,BIS-2,BIS-3,BIS-4,BIS-5,BIS-6,BIS-7,BIS-8,BIS-9,BIS-10,BIS-11,BIS-12,BIS-13,BIS-14,BIS-15,BIS-16,BIS-17,BIS-18,BIS-19,BIS-20,BIS-21,BIS-22,BIS-23,BIS-24,BIS-25,BIS-26,BIS-27,BIS-28,BIS-29,BIS-30,UP-1,UP-2,UP-3,UP-4,UP-5,UP-6,UP-7,UP-8,UP-9,UP-10,UP-11,UP-12,UP-13,UP-14,UP-15,UP-16,UP-17,UP-18,UP-19,UP-20,UP-21,UP-22,UP-23,UP-24,UP-25,UP-26,UP-27,UP-28,UP-29,UP-30,UP-31,UP-32,UP-33,UP-34,UP-35,UP-36,UP-37,UP-38,UP-39,UP-40,UP-41,UP-42,UP-43,UP-44,UP-45,UP-46,UP-47,UP-48,UP-49,UP-50,UP-51,UP-52,UP-53,UP-54,UP-55,UP-56,UP-57,UP-58,UP-59,PA-1,PA-2,PA-3,PA-4,PA-5,PA-6,PA-7,PA-8,PA-9,PA-10,PA-11,PA-12,PA-13,PA-14,PA-15,PA-16,PA-17,PA-18,PA-19,PA-20
s1196,2/9/22 12:59,97,1,1,2,1,1,1,1,2,2,2,1,1,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,2,1,2,2,2,4,3,3,1,4,2,2,4,3,1,2,1,4,1,1,1,4,1,4,4,4,1,3,2,4,3,1,3,4,2,3,1,3,3,2,2,1,4,1,4,4,1,3,4,3,4,3,4,1,1,4,4,1,2,4,4,3,2,3,3,3,1,2,2,4,2,4,4,1,4,2,2,3,1,1,4,2,4,1,3,1,3,3,3,4,3,1,3,1,1.0,5,4,2,1.0,1,2,2.0,3.0,3,5,2,1,5,5.0,2.0,3,1,2
s1197,2/9/22 12:37,599,1,1,2,1,2,2,1,2,2,2,1,1,2,1,1,2,2,2,1,1,1,2,1,2,2,1,2,1,2,1,2,4,1,2,2,1,1,3,3,2,2,1,3,3,1,2,1,1,2,1,2,1,1,2,1,2,1,2,1,2,2,2,4,3,1,4,2,4,2,3,4,3,4,4,2,4,2,4,4,2,4,2,4,3,2,4,3,1,2,4,4,3,2,1,4,4,2,2,1,3,4,4,2,2,4,4,4,2,2,4,4,2,4,2,4,2,4,4,4,3,5,1.0,4,1,3,1.0,1,1,3.0,4.0,1,3,1,3,1,4.0,3.0,1,3,1
s1198,2/9/22 20:11,563,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,2,1,2,1,1,2,2,1,2,2,1,2,1,2,1,2,2,1,3,4,2,1,2,3,2,2,3,4,2,1,1,2,3,4,3,4,2,2,4,2,1,1,3,3,2,2,3,2,1,3,4,1,1,3,2,4,2,4,4,2,4,2,4,3,3,4,3,4,4,1,4,3,3,1,4,4,2,1,1,4,4,4,3,3,1,4,3,3,1,4,4,4,2,1,4,4,4,4,1,4,1,2,2,3,4,5,1.0,5,1,5,1.0,1,1,5.0,5.0,1,5,1,5,1,5.0,5.0,1,5,1
s1199,2/9/22 16:42,547,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,2,1,2,1,1,1,2,1,2,2,1,2,1,2,1,2,3,2,2,3,2,2,4,3,3,2,2,3,2,2,1,1,2,2,2,3,1,1,2,1,1,2,2,2,3,3,2,4,2,1,3,1,2,2,3,3,3,4,2,1,3,1,2,1,2,3,2,3,2,1,3,1,2,1,3,4,2,2,1,3,4,4,2,2,3,3,2,2,1,3,3,4,3,1,3,3,1,3,2,4,2,4,1,2,4,3,4.0,2,4,2,3.0,3,2,2.0,2.0,2,3,2,2,3,2.0,3.0,1,2,3
s1201,2/9/22 12:39,424,1,1,2,1,2,2,1,2,2,2,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,2,1,2,1,2,4,1,2,3,1,1,4,3,3,2,1,4,2,1,4,1,1,1,1,4,1,2,1,2,2,1,3,1,4,2,2,3,4,1,4,1,3,1,4,4,1,4,3,2,4,1,4,4,1,4,2,4,4,1,4,4,1,1,4,4,3,2,1,4,4,4,2,1,3,4,4,1,1,4,4,4,4,1,4,4,4,4,2,4,1,4,3,3,4,3,1.0,2,1,1,1.0,1,1,3.0,1.0,1,2,1,1,2,1.0,3.0,1,2,1
s1203,2/9/22 16:16,609,1,1,2,1,2,2,1,2,2,2,1,1,2,1,1,2,1,2,1,1,2,2,1,2,2,1,2,1,2,1,2,3,1,2,2,1,2,3,3,3,4,2,4,2,2,4,2,1,1,1,3,1,1,2,2,1,2,2,2,4,2,1,4,3,3,3,1,1,3,2,3,2,3,1,4,3,1,3,4,1,3,2,2,4,2,3,4,3,1,4,3,3,2,1,4,3,4,3,1,4,3,3,3,1,4,3,4,3,1,3,4,3,3,1,4,2,4,2,4,3,4,2.0,3,2,3,2.0,2,1,3.0,2.0,1,4,1,3,2,4.0,5.0,1,3,2
s1204,2/9/22 14:37,313,1,1,1,1,2,1,1,2,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,4,1,1,1,1,4,3,2,1,2,3,4,2,2,1,2,2,3,2,4,1,2,1,4,2,4,2,3,3,2,1,3,3,2,3,1,3,2,1,3,2,2,4,2,3,1,2,4,1,4,2,3,4,4,3,4,2,1,3,4,2,2,1,3,4,4,1,1,3,4,4,2,1,4,3,4,1,1,3,3,4,3,1,3,1,3,3,3,2,3,2.0,1,2,1,2.0,1,1,1.0,1.0,2,5,1,1,3,2.0,5.0,4,4,1
s1205,2/9/22 12:52,862,1,1,1,1,2,1,1,2,2,2,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,3,1,2,2,1,1,2,4,3,1,3,4,2,1,2,1,1,2,1,3,1,2,2,2,1,2,3,3,2,1,2,3,4,2,4,1,2,4,2,4,1,3,4,2,4,1,4,3,3,4,1,4,4,2,4,4,2,1,4,4,4,2,1,4,4,4,2,1,4,4,4,2,1,4,4,3,1,1,4,4,3,4,3,4,1,3,2,3,4,2,3.0,1,3,1,1.0,2,2,2.0,1.0,3,2,1,1,2,3.0,2.0,1,2,2
s1206,2/9/22 13:27,719,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,2,1,2,1,2,4,1,3,2,1,1,4,4,4,3,3,4,2,1,4,3,2,1,2,4,2,2,1,2,1,2,4,2,3,2,3,4,2,1,4,1,3,3,4,4,1,3,2,2,4,1,4,2,1,4,3,4,3,1,4,4,1,2,4,4,2,1,2,4,4,4,1,2,4,4,2,1,1,4,4,2,4,1,4,4,3,4,1,3,1,2,3,2,4,3,1.0,2,1,2,1.0,1,1,3.0,2.0,1,3,1,2,1,3.0,3.0,1,3,1
s1207,2/9/22 12:52,526,1,1,2,1,2,2,1,2,2,2,1,2,2,1,1,2,1,2,1,1,2,2,1,2,2,1,2,1,2,1,2,3,1,2,2,1,1,3,3,3,3,1,3,3,1,3,1,1,1,1,3,1,1,1,2,1,1,1,1,3,3,2,4,3,1,4,1,4,4,4,4,1,3,3,2,4,1,4,3,2,4,3,4,4,1,4,4,1,1,4,4,3,1,1,4,4,4,1,1,4,4,4,1,2,4,4,4,4,1,4,3,4,4,2,4,1,4,4,4,4,4,1.0,3,1,4,1.0,1,1,4.0,4.0,1,4,1,3,1,4.0,4.0,1,4,1
s1208,2/9/22 16:57,441,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,2,2,3,1,2,2,3,1,3,3,1,2,1,2,1,1,1,3,1,2,1,1,3,1,1,1,3,1,2,2,2,2,4,1,4,2,2,2,2,4,2,2,4,2,4,2,3,2,1,2,2,3,2,2,4,4,1,2,4,4,3,2,2,3,3,3,2,2,3,4,3,1,1,4,4,2,1,2,4,3,1,4,3,4,2,2,3,2,4,3,1.0,1,1,1,1.0,1,1,1.0,1.0,1,3,1,1,1,3.0,3.0,1,2,1
s1209,2/9/22 12:50,587,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,3,1,3,2,1,1,3,4,4,4,1,4,3,1,4,2,1,1,1,4,2,2,1,1,1,1,2,1,3,3,2,4,3,1,4,1,4,3,4,4,1,3,3,2,4,1,4,3,2,4,2,3,4,1,4,4,1,2,4,4,4,1,1,4,4,4,1,2,3,4,4,1,1,4,4,4,3,1,4,4,2,4,2,4,1,2,3,3,4,4,1.0,2,2,2,2.0,1,1,3.0,3.0,1,5,2,3,1,5.0,5.0,1,3,1
s1210,2/10/22 09:27,505,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,2,1,2,4,1,2,4,1,1,4,4,4,4,1,4,2,1,4,2,1,1,2,4,2,2,1,1,1,2,3,1,3,2,3,4,2,1,4,1,4,2,4,4,1,4,2,1,4,1,4,4,1,4,2,4,2,1,4,4,1,1,4,4,2,1,1,4,4,4,1,2,4,4,2,1,2,4,4,2,4,1,4,4,2,4,2,4,1,1,2,4,4,5,2.0,3,1,3,1.0,1,1,3.0,3.0,1,4,1,2,1,5.0,4.0,1,4,1
s1211,2/9/22 13:45,450,1,1,2,1,2,2,1,2,2,2,1,2,2,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,2,1,2,4,1,2,1,1,2,4,3,4,4,1,3,4,1,4,1,1,1,1,4,1,2,1,1,1,1,1,1,3,4,2,4,2,1,4,1,3,2,4,4,1,4,2,1,4,2,4,1,1,4,2,4,2,1,4,2,1,1,4,4,2,1,1,4,4,2,1,2,3,4,2,1,1,4,4,2,4,1,4,2,1,4,2,4,1,2,3,3,4,4,1.0,3,1,2,1.0,1,1,4.0,2.0,1,4,1,2,2,5.0,4.0,2,4,1
s1212,2/9/22 16:55,562,1,1,2,1,2,2,1,2,2,2,1,1,2,1,1,2,1,2,1,1,1,2,1,2,2,1,2,1,2,1,2,4,1,2,3,1,1,3,4,4,2,1,4,3,1,3,2,1,1,1,4,2,1,2,1,1,1,2,1,3,3,2,4,3,1,4,1,4,2,4,4,1,4,2,2,4,2,4,2,2,4,2,4,3,1,4,3,1,1,4,4,3,1,1,4,4,1,1,1,4,4,4,1,2,4,4,2,4,1,4,4,2,4,1,4,1,1,2,4,4,4,1.0,5,1,5,1.0,1,1,5.0,5.0,1,5,1,5,1,5.0,5.0,1,5,1
s1213,2/9/22 15:59,551,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,3,1,2,2,2,2,3,2,2,2,2,3,3,2,1,2,2,2,2,3,2,2,2,1,2,2,2,2,4,3,2,3,2,1,3,2,2,4,3,3,2,3,3,1,3,1,3,2,1,3,1,3,3,2,3,4,1,2,3,4,4,1,2,3,3,4,1,1,3,3,3,1,1,3,3,3,2,1,3,2,4,3,3,3,2,3,3,2,3,2,1.0,2,1,2,2.0,1,1,1.0,2.0,2,3,1,1,2,3.0,4.0,1,2,2
s1215,2/9/22 17:22,883,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,3,1,1,1,1,2,3,3,3,4,1,3,1,1,2,1,1,1,1,3,1,1,3,1,1,2,3,1,2,2,2,4,4,1,4,1,3,4,2,4,1,4,4,1,4,1,4,4,1,4,2,3,4,2,4,4,2,1,4,4,4,2,1,3,4,3,2,1,3,4,3,2,1,4,4,4,4,1,4,3,3,4,2,4,1,4,3,4,4,4,1.0,1,1,1,1.0,1,1,2.0,1.0,1,4,1,1,3,4.0,4.0,1,2,1
s1216,2/9/22 16:51,421,1,1,2,1,2,2,1,2,2,2,1,1,2,1,1,2,2,2,2,1,2,2,1,2,2,1,2,1,2,1,2,4,1,1,2,4,2,4,3,1,3,1,4,4,1,3,1,1,2,1,3,1,2,2,1,2,4,4,1,4,1,1,4,3,3,4,1,1,2,1,4,2,3,4,2,4,1,2,4,2,4,1,2,4,3,4,4,3,1,3,4,3,2,1,2,4,4,3,1,4,4,4,3,1,3,4,4,1,1,4,2,2,4,2,4,1,4,2,3,4,2,3.0,2,3,1,2.0,2,3,2.0,1.0,4,2,2,1,4,1.0,2.0,2,2,3
s1217,2/9/22 16:02,266,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,1,2,2,1,2,1,2,1,2,4,1,2,4,1,1,4,4,4,4,1,4,4,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,4,4,2,4,1,1,4,1,4,1,4,4,1,4,2,1,4,1,4,1,1,4,4,4,1,1,4,1,1,1,4,4,1,1,1,4,4,1,1,2,4,4,1,1,2,4,4,1,4,1,4,4,1,4,1,4,1,2,4,4,4,5,1.0,5,1,5,1.0,1,1,5.0,5.0,1,5,1,5,1,5.0,5.0,1,5,1
s1218,2/9/22 18:01,456,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,2,1,2,1,2,3,1,2,2,1,2,2,2,3,1,2,3,2,1,1,2,2,2,2,3,2,1,2,2,2,3,2,2,3,3,2,2,2,2,3,2,2,3,3,3,1,3,3,1,3,1,2,3,2,3,1,2,3,2,3,3,2,2,2,3,3,2,2,3,3,3,2,1,2,3,3,2,1,2,3,3,3,2,4,4,3,3,3,3,2,3,2,2,3,3,4.0,1,4,1,5.0,3,2,2.0,1.0,2,4,4,2,3,4.0,4.0,3,2,3
s1219,2/9/22 12:50,421,1,1,2,1,2,1,1,2,2,2,1,1,2,1,1,2,1,2,1,1,2,2,1,2,2,1,2,1,2,1,2,4,1,2,2,1,1,4,4,4,4,1,4,4,1,4,2,2,1,1,4,2,2,3,2,1,1,2,1,4,4,1,4,2,1,4,1,3,3,4,4,4,4,3,1,4,1,4,2,1,4,1,4,3,1,4,4,1,1,4,4,2,1,1,4,4,1,1,1,4,4,3,1,1,4,4,3,4,1,4,4,1,4,1,4,1,2,4,4,4,5,1.0,3,2,5,1.0,1,1,3.0,4.0,2,5,1,3,2,5.0,5.0,1,4,1
s1220,2/10/22 04:21,317,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2,3,2,1,1,2,3,3,3,2,2,2,3,2,2,3,1,2,2,2,3,1,2,2,2,1,2,2,2,2,1,1,4,4,1,4,1,2,3,3,4,3,1,4,2,4,1,1,4,2,4,1,1,4,2,4,4,2,1,1,4,4,2,1,1,4,4,2,1,2,4,4,2,1,1,4,4,2,1,4,1,4,4,4,4,1,4,4,2,4,1,5.0,1,5,1,3.0,3,4,1.0,1.0,5,5,4,1,4,3.0,1.0,4,1,4
s1221,2/10/22 15:51,2096,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,4,4,1,1,4,4,4,4,1,4,4,1,4,1,1,1,1,4,1,1,2,1,1,1,3,1,4,4,3,4,2,1,4,1,4,2,4,4,1,3,2,3,4,1,3,2,1,3,3,4,2,1,3,1,1,2,4,4,2,1,1,4,4,2,1,4,4,4,2,1,2,1,3,1,3,1,3,4,1,2,1,3,1,1,1,4,3,5,1.0,5,1,5,1.0,1,1,5.0,5.0,1,5,1,5,1,5.0,5.0,1,5,1
s1222,2/9/22 12:41,434,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,3,1,2,2,1,1,3,3,3,2,1,3,3,2,3,1,1,1,1,3,1,1,1,2,2,2,2,1,3,3,2,3,2,1,4,1,3,3,3,4,2,3,2,1,4,1,3,4,1,4,2,3,3,2,4,4,1,1,3,4,2,1,1,3,4,4,1,2,3,4,3,1,1,4,4,3,4,2,4,3,4,4,2,4,1,4,3,3,4,3,2.0,2,2,3,2.0,2,1,3.0,2.0,2,3,2,3,2,4.0,4.0,1,3,2
s1223,2/9/22 22:07,12373,1,1,1,1,2,1,1,2,2,2,1,1,2,1,1,2,1,2,1,1,1,2,1,2,2,1,2,1,2,1,2,2,3,3,3,3,3,2,2,1,2,2,2,1,3,2,1,3,3,3,2,1,3,1,3,2,4,2,2,1,2,3,2,3,2,4,3,2,4,4,4,4,3,3,2,4,3,3,4,1,4,3,2,2,4,4,4,2,3,2,4,3,2,3,3,4,4,1,3,2,4,4,2,2,3,4,4,3,3,2,2,4,2,4,4,3,4,3,2,4,2,1.0,2,2,2,1.0,1,1,1.0,2.0,3,2,1,2,3,3.0,3.0,1,1,2
s1224,2/9/22 16:30,1403,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,3,1,2,4,4,4,4,1,4,4,1,4,4,1,1,2,3,1,1,1,1,1,3,1,1,2,4,2,4,1,1,4,1,3,1,4,4,1,4,2,1,4,1,4,2,2,4,3,4,3,1,4,2,2,1,4,4,1,1,2,4,4,1,1,2,2,4,3,1,1,4,4,3,4,1,4,4,2,4,2,4,1,3,1,3,4,4,1.0,3,1,3,1.0,1,1,4.0,4.0,1,4,1,3,1,5.0,4.0,1,4,1
s1225,2/9/22 13:40,347,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,4,1,2,4,1,2,4,4,4,4,1,4,4,1,4,1,1,1,1,4,1,1,1,1,1,2,2,1,4,4,1,4,2,1,4,1,4,2,4,4,1,4,2,2,4,1,4,3,2,4,2,4,4,1,4,4,1,1,4,4,4,1,1,4,4,4,1,1,4,4,4,1,1,4,4,4,4,1,4,4,2,4,1,4,1,4,4,4,4,4,1.0,5,1,3,1.0,1,1,5.0,5.0,1,5,1,4,1,5.0,5.0,1,3,1
s1227,2/9/22 13:03,557,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,2,1,2,1,1,1,2,1,2,2,1,2,1,2,1,2,2,2,1,1,3,2,2,2,3,2,1,3,2,2,2,1,2,2,2,3,1,2,4,1,2,2,3,1,2,2,1,2,3,3,3,2,1,3,2,3,2,3,4,2,3,1,2,3,3,3,1,2,3,2,3,4,4,1,2,4,3,2,2,1,4,4,3,1,2,3,4,3,1,2,3,3,1,1,2,1,2,2,3,3,1,3,2,2,4,1,4.0,1,5,2,2.0,2,2,1.0,1.0,2,1,2,1,1,2.0,2.0,1,1,1
s1228,2/9/22 16:14,505,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,1,2,1,1,2,2,1,2,2,1,2,1,2,1,2,3,2,2,3,1,1,3,3,3,2,2,3,3,2,1,1,1,2,1,3,1,2,2,2,2,1,3,2,2,2,2,3,3,2,4,2,3,3,3,3,2,3,3,2,3,2,3,3,2,4,2,3,3,2,4,4,2,2,3,4,3,2,2,3,4,3,2,2,3,3,4,2,2,3,3,4,3,2,3,2,3,3,2,3,2,3,3,4,3,4,2.0,1,2,4,1.0,1,1,3.0,3.0,2,4,1,2,3,4.0,4.0,1,3,1
s1229,2/9/22 19:58,1215,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,2,2,3,2,1,4,1,3,3,1,2,1,1,2,1,2,1,1,3,1,1,3,2,1,2,3,1,2,3,3,4,1,1,4,1,4,1,4,4,2,4,1,2,4,3,4,1,2,4,4,4,4,3,1,4,4,4,3,1,3,4,4,3,1,2,4,4,3,1,4,4,4,2,1,4,2,4,4,3,4,1,4,2,3,4,3,1.0,1,2,1,5.0,2,2,1.0,1.0,2,3,5,2,2,1.0,3.0,2,2,2
s1230,2/9/22 17:10,493,1,1,2,1,2,2,1,2,2,2,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,2,1,2,1,2,3,1,2,1,1,1,3,3,3,3,2,3,1,3,2,1,1,2,1,3,1,1,2,2,1,2,2,2,3,3,2,3,3,1,4,1,1,4,3,4,2,3,3,2,4,1,2,4,2,4,2,3,3,2,4,4,1,2,3,4,4,4,1,4,4,4,2,1,4,4,4,4,4,4,4,4,4,2,4,3,4,4,1,4,2,2,2,2,4,4,1.0,1,2,1,1.0,1,1,1.0,1.0,2,4,1,1,1,1.0,4.0,1,3,1
s1231,2/9/22 17:49,483,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,4,1,2,3,1,1,4,4,4,4,1,4,4,1,4,1,1,1,1,4,1,1,1,2,2,2,2,1,3,3,2,4,3,1,4,1,4,3,4,4,1,4,2,1,4,1,4,4,2,4,2,3,4,1,4,4,1,1,4,4,3,1,1,4,4,4,1,2,4,4,4,1,1,4,4,4,4,1,4,4,4,4,1,4,1,4,3,4,4,4,1.0,2,1,2,1.0,1,1,2.0,2.0,2,3,1,2,1,4.0,5.0,1,4,1
s1232,2/9/22 17:03,1466,1,1,1,1,2,1,1,2,2,2,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,3,1,1,2,1,3,4,3,2,3,2,4,3,1,4,2,1,1,1,3,1,1,3,2,2,2,3,3,4,2,1,4,2,1,3,1,2,4,3,3,1,3,4,1,3,1,2,1,2,3,2,3,3,3,3,4,2,1,4,3,2,2,1,4,4,1,2,1,3,3,3,2,1,4,3,2,1,1,3,4,1,3,2,3,1,2,2,3,3,2,2.0,2,2,3,1.0,1,1,3.0,2.0,2,2,1,3,2,4.0,3.0,1,2,1
s1233,2/9/22 14:10,558,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,1,2,1,2,3,1,1,2,1,1,3,4,3,4,1,4,2,1,3,1,1,1,1,4,1,1,1,2,1,1,2,1,3,3,2,4,2,2,4,1,4,2,4,4,1,4,3,2,4,1,3,3,2,4,3,3,4,2,4,4,2,1,4,4,2,1,1,4,3,2,1,2,4,4,3,2,2,2,4,3,3,1,2,3,3,4,1,4,2,3,2,4,4,2,2.0,1,1,2,3.0,2,1,1.0,1.0,2,4,3,2,2,4.0,5.0,2,4,2
s1234,2/9/22 13:39,429,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,2,1,2,1,2,3,3,2,3,2,2,3,3,3,2,3,4,2,3,4,2,3,2,3,3,2,2,2,2,1,3,2,3,3,3,2,3,1,1,3,1,2,2,4,2,4,2,1,1,2,1,2,4,1,3,1,1,2,2,2,4,1,1,1,3,2,1,1,1,1,4,1,1,2,2,4,1,1,2,2,4,3,1,3,2,4,2,4,4,1,4,2,2,2,4,1.0,3,1,4,1.0,1,1,3.0,3.0,1,5,1,1,2,4.0,5.0,1,4,1
s1235,2/9/22 18:23,381,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,2,2,1,4,2,2,2,2,3,1,1,2,1,2,1,1,4,1,3,4,1,2,1,2,1,1,2,1,2,3,1,4,1,1,4,3,3,1,3,4,1,4,1,3,3,1,4,1,3,4,3,4,4,1,1,3,4,4,1,1,3,4,2,2,1,3,4,4,1,1,4,4,4,4,1,4,3,4,4,1,3,1,4,1,2,3,4,2.0,2,2,2,2.0,1,1,3.0,2.0,2,2,1,2,2,3.0,3.0,1,2,1
s1236,2/11/22 07:15,345,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,3,1,3,4,1,2,3,3,4,4,2,4,4,2,4,1,1,1,1,4,1,2,1,2,1,1,4,2,4,1,3,4,3,1,4,1,3,2,4,4,2,4,2,3,4,2,4,1,2,4,4,4,3,1,4,4,2,2,4,4,4,1,2,2,4,4,1,2,3,4,4,2,2,4,4,1,4,2,4,2,1,4,2,4,2,2,3,4,4,4,1.0,4,1,4,1.0,1,1,3.0,3.0,1,4,1,2,1,4.0,4.0,1,3,1
s1237,2/9/22 12:46,713,1,1,2,1,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2,1,2,2,1,2,2,2,1,2,4,1,1,3,1,1,4,4,4,4,1,4,4,1,4,1,1,1,1,4,1,2,1,1,1,2,2,1,4,3,2,4,3,1,4,1,4,3,4,4,1,4,1,1,4,1,4,3,1,4,2,4,4,1,4,4,1,1,4,4,4,1,1,4,4,4,1,1,4,4,4,1,1,4,4,4,4,1,4,4,4,4,1,4,1,4,4,4,4,4,1.0,3,1,4,1.0,1,1,4.0,3.0,1,4,1,4,1,5.0,5.0,1,5,1
s1238,2/9/22 17:33,590,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,2,1,2,1,2,3,1,3,2,1,1,3,4,4,1,2,4,4,1,3,1,1,1,2,4,1,2,1,1,2,2,2,2,4,3,1,3,3,2,4,1,2,4,4,4,1,4,3,3,4,1,3,4,2,4,3,4,4,1,4,4,2,1,4,4,4,2,1,3,4,4,2,1,3,4,4,2,2,4,4,4,3,1,4,3,3,4,2,4,1,4,4,4,4,3,1.0,2,2,3,2.0,2,1,2.0,3.0,2,4,2,1,2,4.0,4.0,1,2,1
s1241,2/9/22 15:54,2343,1,1,2,1,2,2,1,2,2,2,1,2,2,1,1,2,1,2,1,1,2,2,1,2,2,1,2,1,2,1,2,3,1,2,3,1,1,3,3,4,4,1,3,4,1,3,1,1,1,1,3,1,2,2,2,1,1,2,1,4,4,2,4,3,1,4,1,3,4,4,4,1,4,3,2,4,2,4,3,2,4,2,4,3,1,4,4,1,1,4,4,3,1,1,4,4,4,1,2,4,4,4,1,2,4,4,4,4,2,4,3,4,4,2,4,2,4,3,4,4,4,1.0,1,1,3,1.0,1,1,3.0,2.0,1,4,1,3,1,5.0,5.0,1,4,1
s1242,2/9/22 17:11,367,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,2,1,2,4,1,3,2,2,1,4,3,2,3,4,3,2,2,3,1,1,2,1,3,1,2,2,2,1,3,2,2,4,3,1,3,3,1,4,1,3,4,2,4,2,4,3,2,4,1,3,4,2,4,2,2,4,3,4,4,2,2,3,4,3,2,1,3,4,4,2,1,3,4,4,1,1,4,4,4,2,1,3,2,3,4,2,4,1,4,2,2,4,3,4.0,1,4,2,2.0,1,2,1.0,1.0,2,4,4,3,3,4.0,4.0,2,4,2
s1243,2/9/22 19:49,861,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2,1,2,2,1,2,2,2,1,2,3,2,2,3,2,2,3,3,3,4,2,3,3,2,2,1,2,3,3,4,2,2,2,2,1,2,3,2,3,3,2,2,2,1,4,1,1,1,3,4,2,2,2,1,4,2,1,3,2,4,1,2,2,2,4,1,1,2,2,4,2,1,2,4,4,1,2,1,2,4,2,1,2,4,4,2,3,1,1,3,2,4,2,4,1,3,2,2,3,4,1.0,4,1,5,1.0,2,1,5.0,4.0,1,4,1,4,1,4.0,5.0,2,4,1
